SEQN,CYCLE,RIAGENDR,RIDAGEYR
83736.0,2015-2016,2.0,42.0
83742.0,2015-2016,2.0,32.0
83745.0,2015-2016,2.0,15.0
83749.0,2015-2016,2.0,17.0
83751.0,2015-2016,2.0,16.0
83752.0,2015-2016,2.0,30.0
83759.0,2015-2016,2.0,19.0
83761.0,2015-2016,2.0,24.0
83762.0,2015-2016,2.0,27.0
83768.0,2015-2016,2.0,15.0
83774.0,2015-2016,2.0,13.0
83781.0,2015-2016,2.0,27.0
83799.0,2015-2016,2.0,37.0
83802.0,2015-2016,2.0,29.0
83809.0,2015-2016,2.0,20.0
83815.0,2015-2016,2.0,15.0
83819.0,2015-2016,2.0,16.0
83822.0,2015-2016,2.0,20.0
83823.0,2015-2016,2.0,29.0
83825.0,2015-2016,2.0,16.0
83828.0,2015-2016,2.0,39.0
83831.0,2015-2016,2.0,15.0
83835.0,2015-2016,2.0,13.0
83836.0,2015-2016,2.0,18.0
83837.0,2015-2016,2.0,45.0
83845.0,2015-2016,2.0,44.0
83851.0,2015-2016,2.0,37.0
83853.0,2015-2016,2.0,49.0
83854.0,2015-2016,2.0,46.0
83855.0,2015-2016,2.0,12.0
83857.0,2015-2016,2.0,31.0
83862.0,2015-2016,2.0,19.0
83865.0,2015-2016,2.0,21.0
83871.0,2015-2016,2.0,30.0
83875.0,2015-2016,2.0,42.0
83881.0,2015-2016,2.0,32.0
83890.0,2015-2016,2.0,18.0
83897.0,2015-2016,2.0,29.0
83903.0,2015-2016,2.0,47.0
83909.0,2015-2016,2.0,49.0
83911.0,2015-2016,2.0,43.0
83914.0,2015-2016,2.0,23.0
83917.0,2015-2016,2.0,17.0
83924.0,2015-2016,2.0,48.0
83933.0,2015-2016,2.0,31.0
83934.0,2015-2016,2.0,27.0
83935.0,2015-2016,2.0,44.0
83943.0,2015-2016,2.0,17.0
83947.0,2015-2016,2.0,33.0
83948.0,2015-2016,2.0,13.0
83952.0,2015-2016,2.0,14.0
83953.0,2015-2016,2.0,46.0
83958.0,2015-2016,2.0,47.0
83959.0,2015-2016,2.0,22.0
83961.0,2015-2016,2.0,44.0
83962.0,2015-2016,2.0,28.0
83963.0,2015-2016,2.0,44.0
83969.0,2015-2016,2.0,21.0
83971.0,2015-2016,2.0,26.0
83989.0,2015-2016,2.0,37.0
83991.0,2015-2016,2.0,14.0
83993.0,2015-2016,2.0,41.0
84004.0,2015-2016,2.0,14.0
84006.0,2015-2016,2.0,45.0
84016.0,2015-2016,2.0,41.0
84021.0,2015-2016,2.0,29.0
84023.0,2015-2016,2.0,19.0
84025.0,2015-2016,2.0,18.0
84029.0,2015-2016,2.0,28.0
84033.0,2015-2016,2.0,41.0
84034.0,2015-2016,2.0,25.0
84038.0,2015-2016,2.0,23.0
84046.0,2015-2016,2.0,45.0
84056.0,2015-2016,2.0,14.0
84058.0,2015-2016,2.0,21.0
84062.0,2015-2016,2.0,45.0
84065.0,2015-2016,2.0,48.0
84066.0,2015-2016,2.0,14.0
84072.0,2015-2016,2.0,27.0
84073.0,2015-2016,2.0,39.0
84074.0,2015-2016,2.0,26.0
84077.0,2015-2016,2.0,46.0
84093.0,2015-2016,2.0,16.0
84102.0,2015-2016,2.0,13.0
84127.0,2015-2016,2.0,12.0
84128.0,2015-2016,2.0,46.0
84130.0,2015-2016,2.0,26.0
84137.0,2015-2016,2.0,28.0
84140.0,2015-2016,2.0,21.0
84143.0,2015-2016,2.0,35.0
84155.0,2015-2016,2.0,14.0
84156.0,2015-2016,2.0,29.0
84171.0,2015-2016,2.0,30.0
84187.0,2015-2016,2.0,25.0
84191.0,2015-2016,2.0,12.0
84192.0,2015-2016,2.0,27.0
84200.0,2015-2016,2.0,24.0
84221.0,2015-2016,2.0,16.0
84229.0,2015-2016,2.0,43.0
84230.0,2015-2016,2.0,28.0
84234.0,2015-2016,2.0,40.0
84235.0,2015-2016,2.0,47.0
84238.0,2015-2016,2.0,25.0
84242.0,2015-2016,2.0,42.0
84243.0,2015-2016,2.0,16.0
84245.0,2015-2016,2.0,43.0
84247.0,2015-2016,2.0,16.0
84248.0,2015-2016,2.0,29.0
84253.0,2015-2016,2.0,14.0
84276.0,2015-2016,2.0,26.0
84277.0,2015-2016,2.0,28.0
84278.0,2015-2016,2.0,14.0
84285.0,2015-2016,2.0,44.0
84286.0,2015-2016,2.0,13.0
84298.0,2015-2016,2.0,36.0
84300.0,2015-2016,2.0,25.0
84305.0,2015-2016,2.0,36.0
84308.0,2015-2016,2.0,41.0
84316.0,2015-2016,2.0,45.0
84323.0,2015-2016,2.0,21.0
84325.0,2015-2016,2.0,17.0
84330.0,2015-2016,2.0,14.0
84340.0,2015-2016,2.0,16.0
84347.0,2015-2016,2.0,28.0
84349.0,2015-2016,2.0,39.0
84361.0,2015-2016,2.0,31.0
84363.0,2015-2016,2.0,36.0
84366.0,2015-2016,2.0,48.0
84378.0,2015-2016,2.0,45.0
84383.0,2015-2016,2.0,32.0
84394.0,2015-2016,2.0,45.0
84395.0,2015-2016,2.0,25.0
84396.0,2015-2016,2.0,38.0
84399.0,2015-2016,2.0,17.0
84401.0,2015-2016,2.0,19.0
84402.0,2015-2016,2.0,27.0
84409.0,2015-2016,2.0,47.0
84410.0,2015-2016,2.0,28.0
84412.0,2015-2016,2.0,25.0
84417.0,2015-2016,2.0,18.0
84419.0,2015-2016,2.0,35.0
84429.0,2015-2016,2.0,45.0
84437.0,2015-2016,2.0,48.0
84440.0,2015-2016,2.0,30.0
84444.0,2015-2016,2.0,36.0
84448.0,2015-2016,2.0,26.0
84450.0,2015-2016,2.0,18.0
84456.0,2015-2016,2.0,42.0
84457.0,2015-2016,2.0,19.0
84459.0,2015-2016,2.0,31.0
84462.0,2015-2016,2.0,35.0
84466.0,2015-2016,2.0,19.0
84473.0,2015-2016,2.0,22.0
84476.0,2015-2016,2.0,16.0
84485.0,2015-2016,2.0,24.0
84487.0,2015-2016,2.0,24.0
84490.0,2015-2016,2.0,28.0
84493.0,2015-2016,2.0,44.0
84494.0,2015-2016,2.0,22.0
84509.0,2015-2016,2.0,13.0
84522.0,2015-2016,2.0,19.0
84524.0,2015-2016,2.0,16.0
